               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 130,            0.020583,            0.018079,           0.0025372,             0.77123,             0.81965,              0.8925,             0.57862,            0.016451,            0.011312,            0.011219,           0.0036145,           0.0036145,           0.0036145
                 131,            0.019707,            0.019174,           0.0039031,             0.88332,             0.73811,             0.85862,              0.5622,            0.015132,            0.011322,           0.0058206,            0.003565,            0.003565,            0.003565
                 132,            0.020768,            0.018708,           0.0025494,             0.81043,             0.83333,             0.86415,             0.59728,             0.01363,            0.011729,           0.0028611,           0.0035155,           0.0035155,           0.0035155
                 133,            0.021395,            0.016618,           0.0019578,              0.8205,             0.83333,             0.85042,             0.53905,            0.014135,            0.013322,           0.0012556,            0.003466,            0.003466,            0.003466
                 134,            0.021973,            0.020048,           0.0027719,             0.82265,             0.83081,             0.82917,             0.48246,            0.017481,            0.014101,           0.0009996,           0.0034165,           0.0034165,           0.0034165
                 135,            0.020634,            0.017735,           0.0032975,             0.81746,             0.83333,             0.83389,             0.49531,            0.014164,            0.014669,           0.0008696,            0.003367,            0.003367,            0.003367
                 136,            0.022343,            0.017969,            0.001829,             0.82508,             0.83333,             0.79532,             0.49128,            0.014897,            0.014973,          0.00087246,           0.0033175,           0.0033175,           0.0033175
                 137,            0.018559,            0.018303,           0.0040167,             0.81983,             0.83099,             0.77558,             0.41987,            0.018439,            0.015439,           0.0011339,            0.003268,            0.003268,            0.003268
                 138,            0.020353,            0.019637,           0.0027762,             0.81769,              0.8238,             0.80837,             0.49954,             0.01684,            0.015041,            0.001022,           0.0032185,           0.0032185,           0.0032185
                 139,            0.019477,            0.018931,           0.0031874,             0.78504,             0.80865,             0.79209,             0.52591,            0.017301,            0.013844,          0.00059851,            0.003169,            0.003169,            0.003169
                 140,            0.021377,            0.017057,            0.002896,             0.76714,             0.83333,             0.81345,             0.56132,            0.014967,            0.013253,          0.00052471,           0.0031195,           0.0031195,           0.0031195
                 141,            0.019034,            0.017666,           0.0023895,             0.77508,             0.83333,             0.79689,             0.54454,            0.015753,            0.013791,          0.00054387,             0.00307,             0.00307,             0.00307
                 142,            0.020733,            0.018617,           0.0034597,             0.74039,             0.83333,             0.77569,             0.53899,            0.013606,            0.013701,          0.00058331,           0.0030205,           0.0030205,           0.0030205
                 143,            0.020473,            0.017446,           0.0045556,             0.74605,             0.83333,             0.80007,             0.51306,            0.013296,            0.013254,          0.00050053,            0.002971,            0.002971,            0.002971
                 144,            0.019746,            0.018117,           0.0041277,             0.74739,             0.90336,             0.81761,              0.4441,            0.017411,            0.014406,          0.00050156,           0.0029215,           0.0029215,           0.0029215
                 145,            0.018602,            0.019937,           0.0055917,              0.8272,              0.9026,             0.85929,             0.51598,            0.015111,            0.013839,          0.00073278,            0.002872,            0.002872,            0.002872
                 146,            0.019119,            0.017371,           0.0027625,             0.81178,             0.82069,             0.84343,             0.52617,            0.014446,            0.014233,           0.0011531,           0.0028225,           0.0028225,           0.0028225
                 147,            0.017752,             0.01784,           0.0030493,             0.81022,                   1,             0.87063,             0.56565,            0.014313,             0.01306,           0.0014505,            0.002773,            0.002773,            0.002773
                 148,            0.016306,            0.017873,           0.0018597,             0.81104,             0.97649,             0.87063,             0.56819,             0.01398,            0.012728,           0.0013931,           0.0027235,           0.0027235,           0.0027235
                 149,            0.017466,            0.016653,           0.0025861,             0.81722,               0.985,             0.89125,             0.60843,            0.013315,            0.012765,           0.0012438,            0.002674,            0.002674,            0.002674
                 150,            0.018845,            0.017763,           0.0033836,             0.82496,             0.98698,              0.9125,             0.62677,            0.012718,            0.011714,           0.0010813,           0.0026245,           0.0026245,           0.0026245
                 151,            0.016091,            0.017905,           0.0030937,             0.82799,             0.99573,              0.9125,             0.65966,            0.013232,            0.010412,          0.00067545,            0.002575,            0.002575,            0.002575
                 152,            0.018557,            0.017118,           0.0029429,             0.79434,                   1,              0.9125,             0.68422,            0.011623,            0.010376,          0.00050064,           0.0025255,           0.0025255,           0.0025255
                 153,            0.016298,            0.016256,           0.0040421,             0.72941,             0.98153,             0.82029,             0.58897,            0.011648,            0.011843,          0.00041143,            0.002476,            0.002476,            0.002476
                 154,            0.017668,            0.016725,           0.0038721,             0.72003,             0.91667,             0.82029,             0.59318,            0.012144,            0.012199,          0.00040769,           0.0024265,           0.0024265,           0.0024265
                 155,            0.018142,            0.017579,           0.0037275,             0.74756,             0.90318,             0.78667,             0.52241,            0.012763,            0.014316,          0.00049118,            0.002377,            0.002377,            0.002377
